"","","Wales "
"All industries ","",1337300
"All industries ","Agriculture, forestry and fishing ",36100
"","Production ",154400
"","Construction ",91300
"","Wholesale, retail, transport, hotels and food ",347300
"","Information and communication ",27200
"","Finance and insurance activities ",31100
"","Real estate activities ",18800
"","Professional, scientific and technical activities; administrative and support service activities ",137300
"","Public administration, defence, education and health ",421000
"","Other service activities ",72800


